club_id,season,team_emb_0,team_emb_1,team_emb_2,team_emb_3,team_emb_4,team_emb_5,team_emb_6,team_emb_7,team_emb_8,team_emb_9,team_emb_10,team_emb_11,team_emb_12,team_emb_13,team_emb_14,team_emb_15
2,2018,-0.40026817,2.3977299,-0.7702813,1.5248075,0.94849694,-0.66460747,-1.0116361,0.6032565,-1.7333696,1.136271,-1.8153487,3.753685,1.830244,-0.41051883,-0.16550791,1.8434929
2,2019,-2.280829,1.2680331,-1.377894,-0.007242945,2.4062736,0.30391693,0.45990017,0.7369062,-1.724104,1.8859693,-1.7985706,-0.0015881546,0.38638985,0.30085048,-0.9290917,0.06379874
2,2020,-2.0209231,1.155274,-1.9624984,2.0592759,2.1602855,-0.45264506,-0.21990824,-0.51767254,-2.052073,0.9656364,-0.8099967,1.1832354,-0.06554169,0.09614259,-0.05435992,0.3593718
2,2021,-0.53934604,1.2421987,-1.1429768,0.5036756,1.7911103,-0.31538424,-0.24727654,-0.12093324,-1.2543883,-0.59244245,0.46148825,0.66081536,0.4947198,-0.667655,-0.9504349,-0.32421488
2,2022,-0.92264444,1.2033061,-1.1663032,0.15689403,1.7823529,-0.05167535,0.72037995,0.67155325,-1.4616908,0.35771415,-0.092406645,0.29677877,0.466055,-1.0744599,-0.64724356,0.19979231
2,2023,-1.9365841,1.566265,-1.1166219,-0.35082784,2.0834217,0.8263926,0.2824079,0.7511626,-1.5324925,0.91504526,-0.71607673,-0.8618932,0.5681274,0.47063217,-1.4160566,-0.78650993
2,2024,-1.4412464,1.542385,-0.9890737,-0.3079859,2.1521554,0.3911663,0.3096323,0.89503485,-1.3735956,0.739008,-0.4781441,-0.17362925,0.58227134,-0.33653244,-1.2740237,-0.47149286
3,2012,-2.8084211,1.8074241,1.9120469,2.9231424,-0.0106150955,0.3754584,-1.5194131,0.49625567,-0.8513178,0.40925586,-2.0678806,1.2026232,1.4495412,1.9743875,-1.6338415,2.4535098
3,2013,-3.4335384,-0.039882988,1.6215276,1.4318058,0.54133403,-0.42153347,0.5945102,0.91680247,-0.61624515,0.4323712,-1.4242215,-0.88848245,0.6033851,0.2944283,-2.5016313,1.0173426
3,2014,-1.9688662,1.3079041,1.9053391,2.7979457,-2.1411724,-0.6217772,-0.54307085,0.88353187,-1.728545,0.3987333,-0.33654112,2.0375516,1.8084394,2.3620071,-1.8751569,2.6534324
3,2015,-1.9641261,1.3225096,1.9296881,2.7933865,-2.0921583,-0.5869458,-0.5663572,0.8644195,-1.6901528,0.40080646,-0.3782633,2.0260425,1.7895467,2.320865,-1.8639157,2.643151
3,2016,-2.0764692,1.3603265,1.8935195,2.7215486,-2.0861742,-0.43018657,-0.5811394,0.85184824,-1.6968235,0.58060694,-0.43666607,1.8719904,1.7069304,2.6041574,-1.9193395,2.604283
3,2017,-2.1405568,1.8796581,1.2772938,2.9927518,-2.6832995,-1.188279,-0.020350799,0.60686177,-1.822659,0.78605694,-0.2734207,2.0667515,1.7006161,2.666535,-2.3384213,3.1908739
3,2018,-5.6246266,0.18150935,-0.040306725,1.91594,2.320636,0.19720674,-0.12098194,0.89755285,-1.3893807,1.8740286,-2.2327724,-1.9684422,-0.17719829,2.307696,-2.1142027,2.818128
3,2019,-1.8525575,-0.13750298,1.6698285,1.2598777,-1.5941695,-1.314323,0.9109032,1.4382992,-0.89387006,1.2616246,0.15689886,-0.11077717,0.7178766,0.99913293,-2.5007439,1.3642697
3,2020,-1.8818667,-0.19957575,1.6184765,1.3368483,-1.6893454,-1.4611689,1.0269836,1.4977977,-0.98606724,1.0353848,0.23877494,-0.09144898,0.86554253,0.89673024,-2.5447485,1.3005359
3,2021,-2.2525806,-0.085091576,1.5014722,1.9367428,-1.5409068,-1.2025568,0.7174763,0.7904287,-1.1491183,0.93072927,0.28691077,0.12655023,0.81543106,1.3875283,-2.415565,0.78234375
3,2022,-3.7604988,2.0129325,2.8531182,-0.494233,-2.965523,-1.7244225,2.123516,-0.22084534,-3.3861895,1.7860777,2.1892517,-0.38961577,-0.48596603,2.1787653,-2.1201277,3.3651474
