id,season,country_id,country_mean_phase,country_final_phase_wins,country_international_win_ratio
2015_19,2015,19.0,0.2825757575757576,1,0.40476190476190477
2015_39,2015,39.0,0.3931899641577061,2,0.5161290322580645
2015_40,2015,40.0,0.22159329140461217,4,0.5131578947368421
2015_50,2015,50.0,0.20500000000000002,3,0.41379310344827586
2015_56,2015,56.0,0.34570858283433137,2,0.3142857142857143
2015_75,2015,75.0,0.3425910364145658,4,0.45901639344262296
2015_122,2015,122.0,0.3020833333333333,4,0.27906976744186046
2015_136,2015,136.0,0.3241730279898219,3,0.3888888888888889
2015_141,2015,141.0,0.39657258064516127,4,0.4166666666666667
2015_157,2015,157.0,0.40265608465608466,7,0.5686274509803921
2015_174,2015,174.0,0.2648648648648648,2,0.2972972972972973
2015_177,2015,177.0,0.40282051282051284,3,0.40816326530612246
2015_189,2015,189.0,0.35164430413049197,4,0.4675324675324675
2015_190,2015,190.0,0.5318287037037037,2,0.2727272727272727
2016_19,2016,19.0,0.2450980392156863,5,0.390625
2016_39,2016,39.0,0.39966996699669965,2,0.5128205128205128
2016_40,2016,40.0,0.20862470862470864,3,0.45901639344262296
2016_50,2016,50.0,0.2661290322580645,3,0.4666666666666667
2016_56,2016,56.0,0.3480225988700565,7,0.3409090909090909
2016_75,2016,75.0,0.3587553539934492,3,0.4857142857142857
2016_122,2016,122.0,0.4060412224591329,2,0.35294117647058826
2016_136,2016,136.0,0.3347578347578347,3,0.28205128205128205
2016_141,2016,141.0,0.41206896551724137,3,0.35555555555555557
2016_157,2016,157.0,0.38009950248756214,3,0.5384615384615384
2016_174,2016,174.0,0.29733333333333334,4,0.38
2016_177,2016,177.0,0.355,4,0.48484848484848486
2016_189,2016,189.0,0.3291369047619047,4,0.47619047619047616
2016_190,2016,190.0,0.5154761904761905,2,0.3333333333333333
2017_19,2017,19.0,0.30666666666666664,0,0.13043478260869565
2017_39,2017,39.0,0.3921348314606741,2,0.46875
2017_40,2017,40.0,0.2160919540229885,1,0.3333333333333333
2017_50,2017,50.0,0.25166666666666665,1,0.41379310344827586
2017_56,2017,56.0,0.3819607843137255,5,0.3157894736842105
2017_75,2017,75.0,0.36028571428571426,7,0.5882352941176471
2017_122,2017,122.0,0.44414775255896755,2,0.16
2017_136,2017,136.0,0.33440860215053764,4,0.36
2017_141,2017,141.0,0.4,5,0.5192307692307693
2017_157,2017,157.0,0.3841043083900227,7,0.5119047619047619
2017_174,2017,174.0,0.27419354838709675,0,0.2903225806451613
2017_177,2017,177.0,0.34339933993399335,2,0.38461538461538464
2017_189,2017,189.0,0.33337215320910973,4,0.5324675324675324
2017_190,2017,190.0,0.5136363636363637,2,0.4090909090909091
2018_19,2018,19.0,0.24523809523809526,2,0.4
2018_39,2018,39.0,0.44961240310077516,2,0.5
2018_40,2018,40.0,0.20789473684210527,2,0.4696969696969697
2018_50,2018,50.0,0.12641509433962264,1,0.3333333333333333
2018_56,2018,56.0,0.48428571428571426,3,0.3076923076923077
2018_75,2018,75.0,0.3380830903790087,2,0.47368421052631576
2018_122,2018,122.0,0.38980716253443526,4,0.4166666666666667
2018_136,2018,136.0,0.37105263157894736,2,0.4358974358974359
2018_141,2018,141.0,0.4438931297709924,2,0.29411764705882354
2018_157,2018,157.0,0.38004005340453934,3,0.5833333333333334
2018_174,2018,174.0,0.21842105263157896,1,0.2631578947368421
2018_177,2018,177.0,0.36453900709219855,1,0.2222222222222222
2018_189,2018,189.0,0.36037126715092815,3,0.6144578313253012
2018_190,2018,190.0,0.5526570048309178,3,0.39473684210526316
2019_19,2019,19.0,0.27403846153846156,4,0.28
2019_39,2019,39.0,0.4146825396825397,2,0.3333333333333333
2019_40,2019,40.0,0.2036559139784946,3,0.581081081081081
2019_50,2019,50.0,0.1836734693877551,1,0.3829787234042553
2019_56,2019,56.0,0.5848540145985401,6,0.4375
2019_75,2019,75.0,0.3397631779984721,2,0.4931506849315068
2019_122,2019,122.0,0.4573333333333333,8,0.40384615384615385
2019_136,2019,136.0,0.3404947916666667,4,0.5
2019_141,2019,141.0,0.4261904761904762,1,0.29411764705882354
2019_157,2019,157.0,0.2991573033707865,4,0.5694444444444444
2019_174,2019,174.0,0.2125,1,0.25
2019_177,2019,177.0,0.37026515151515155,1,0.2702702702702703
2019_189,2019,189.0,0.3067195767195767,4,0.5540540540540541
2019_190,2019,190.0,0.518719806763285,4,0.5813953488372093
2020_19,2020,19.0,0.16875,0,0.3
2020_39,2020,39.0,0.43775100401606426,2,0.375
2020_40,2020,40.0,0.19405594405594406,2,0.5517241379310345
2020_50,2020,50.0,0.11625,0,0.34210526315789475
2020_56,2020,56.0,0.26201550387596895,3,0.3125
2020_75,2020,75.0,0.3168661181750187,2,0.5
2020_122,2020,122.0,0.38331043956043953,2,0.4523809523809524
2020_136,2020,136.0,0.2336734693877551,1,0.47058823529411764
2020_141,2020,141.0,0.3716251638269987,3,0.09375
2020_157,2020,157.0,0.31653166421207657,4,0.5263157894736842
2020_174,2020,174.0,0.2361111111111111,0,0.2777777777777778
2020_177,2020,177.0,0.3211610486891386,3,0.37142857142857144
2020_189,2020,189.0,0.34530497592295345,3,0.651685393258427
2020_190,2020,190.0,0.49087837837837844,3,0.5666666666666667
2021_19,2021,19.0,0.2475177304964539,2,0.3023255813953488
2021_39,2021,39.0,0.3783475783475783,3,0.3125
2021_40,2021,40.0,0.2141891891891892,3,0.48484848484848486
2021_50,2021,50.0,0.21363636363636362,2,0.5
2021_56,2021,56.0,0.5249327956989247,3,0.4411764705882353
2021_75,2021,75.0,0.32389770723104055,6,0.4578313253012048
2021_122,2021,122.0,0.4070339246809835,5,0.5466666666666666
2021_136,2021,136.0,0.2986225895316804,4,0.42857142857142855
2021_141,2021,141.0,0.38784096162736936,1,0.20689655172413793
2021_157,2021,157.0,0.3098168498168498,3,0.41025641025641024
2021_174,2021,174.0,0.3612403100775194,4,0.3023255813953488
2021_177,2021,177.0,0.5180722891566265,10,0.16666666666666666
2021_189,2021,189.0,0.33650355169692187,3,0.5609756097560976
2021_190,2021,190.0,0.5435990338164252,3,0.375
2022_19,2022,19.0,0.29205128205128206,2,0.4426229508196721
2022_39,2022,39.0,0.40404984423676016,2,0.3076923076923077
2022_40,2022,40.0,0.19878787878787882,2,0.46153846153846156
2022_50,2022,50.0,0.13333333333333333,1,0.40384615384615385
2022_56,2022,56.0,0.5488095238095239,3,0.25
2022_75,2022,75.0,0.36284875183553594,4,0.5354330708661418
2022_122,2022,122.0,0.4113394998287085,4,0.5538461538461539
2022_136,2022,136.0,0.14393939393939395,3,0.4642857142857143
2022_141,2022,141.0,0.3746556473829201,1,0.0
2022_157,2022,157.0,0.3209576138147567,6,0.4861111111111111
2022_174,2022,174.0,0.3,3,0.46296296296296297
2022_177,2022,177.0,0.27297297297297296,0,0.2702702702702703
2022_189,2022,189.0,0.3325876010781671,6,0.6493506493506493
2022_190,2022,190.0,0.4890453834115806,2,0.16666666666666666
2023_19,2023,19.0,0.3188405797101449,10,0.5223880597014925
2023_39,2023,39.0,0.42087542087542085,4,0.46875
